"GenBank.Accn","X.Replicon.Name","Start","Stop","Strand","GeneID","Locus.tag","Protein.product","Length","Protein.name","X..Sequence.Name","Sequence.Role","Assigned.Molecule","Assigned.Molecule.Location.Type","Relationship","RefSeq.Accn","Assembly.Unit","Sequence.Length","UCSC.style.name","SeqName","SeqName2a"
"GG663365.1","Un",1872027,1873539,"+","-","HCBG_02783","EEH09246.1",473,"deubiquitination-protection protein dph1","supercont2.3","unplaced-scaffold","na","na","<>","na","Primary Assembly",2818386,"na","supercont2.3","Supercontig_2.3"
"GG663365.1","Un",1880503,1882996,"+","-","HCBG_02784","EEH09247.1",719,"transmembrane 9 superfamily member 4","supercont2.3","unplaced-scaffold","na","na","<>","na","Primary Assembly",2818386,"na","supercont2.3","Supercontig_2.3"
"GG663365.1","Un",1884572,1885315,"-","-","HCBG_02785","EEH09248.1",224,"derlin","supercont2.3","unplaced-scaffold","na","na","<>","na","Primary Assembly",2818386,"na","supercont2.3","Supercontig_2.3"
"GG663365.1","Un",1886104,1886717,"+","-","HCBG_02786","EEH09249.1",181,"histone H3","supercont2.3","unplaced-scaffold","na","na","<>","na","Primary Assembly",2818386,"na","supercont2.3","Supercontig_2.3"
"GG663365.1","Un",1887817,1890750,"-","-","HCBG_02787","EEH09250.1",893,"conserved hypothetical protein","supercont2.3","unplaced-scaffold","na","na","<>","na","Primary Assembly",2818386,"na","supercont2.3","Supercontig_2.3"
"GG663365.1","Un",1891066,1895552,"-","-","HCBG_02788","EEH09251.1",1340,"glycosyltransferase","supercont2.3","unplaced-scaffold","na","na","<>","na","Primary Assembly",2818386,"na","supercont2.3","Supercontig_2.3"
"GG663365.1","Un",1896680,1897267,"+","-","HCBG_02789","EEH09252.1",174,"conserved hypothetical protein","supercont2.3","unplaced-scaffold","na","na","<>","na","Primary Assembly",2818386,"na","supercont2.3","Supercontig_2.3"
"GG663365.1","Un",1898448,1898995,"-","-","HCBG_02790","EEH09253.1",163,"conserved hypothetical protein","supercont2.3","unplaced-scaffold","na","na","<>","na","Primary Assembly",2818386,"na","supercont2.3","Supercontig_2.3"
"GG663365.1","Un",1899020,1902837,"+","-","HCBG_02791","EEH09254.1",1191,"RNA helicase family protein","supercont2.3","unplaced-scaffold","na","na","<>","na","Primary Assembly",2818386,"na","supercont2.3","Supercontig_2.3"
"GG663365.1","Un",1903153,1903875,"-","-","HCBG_02792","EEH09255.1",240,"pre-mRNA-splicing factor CWC21","supercont2.3","unplaced-scaffold","na","na","<>","na","Primary Assembly",2818386,"na","supercont2.3","Supercontig_2.3"
"GG663365.1","Un",1904857,1908356,"-","-","HCBG_02793","EEH09256.1",1143,"phosphoethanolamine transferase class O","supercont2.3","unplaced-scaffold","na","na","<>","na","Primary Assembly",2818386,"na","supercont2.3","Supercontig_2.3"
"GG663365.1","Un",1910158,1910784,"-","-","HCBG_02794","EEH09257.1",208,"conserved hypothetical protein","supercont2.3","unplaced-scaffold","na","na","<>","na","Primary Assembly",2818386,"na","supercont2.3","Supercontig_2.3"
"GG663365.1","Un",1913809,1914313,"+","-","HCBG_02795","EEH09258.1",113,"predicted protein","supercont2.3","unplaced-scaffold","na","na","<>","na","Primary Assembly",2818386,"na","supercont2.3","Supercontig_2.3"
"GG663365.1","Un",1927254,1929013,"+","-","HCBG_02796","EEH09259.1",131,"predicted protein","supercont2.3","unplaced-scaffold","na","na","<>","na","Primary Assembly",2818386,"na","supercont2.3","Supercontig_2.3"
"GG663365.1","Un",1930952,1933030,"+","-","HCBG_02797","EEH09260.1",561,"cytochrome P450","supercont2.3","unplaced-scaffold","na","na","<>","na","Primary Assembly",2818386,"na","supercont2.3","Supercontig_2.3"
"GG663365.1","Un",1937310,1937900,"+","-","HCBG_02798","EEH09261.1",196,"hypothetical protein HCBG_02798","supercont2.3","unplaced-scaffold","na","na","<>","na","Primary Assembly",2818386,"na","supercont2.3","Supercontig_2.3"
"GG663365.1","Un",1939462,1942764,"+","-","HCBG_02799","EEH09262.1",917,"pumilio domain-containing protein","supercont2.3","unplaced-scaffold","na","na","<>","na","Primary Assembly",2818386,"na","supercont2.3","Supercontig_2.3"
"GG663365.1","Un",1944874,1949643,"-","-","HCBG_02800","EEH09263.1",1532,"tuberin","supercont2.3","unplaced-scaffold","na","na","<>","na","Primary Assembly",2818386,"na","supercont2.3","Supercontig_2.3"
"GG663365.1","Un",1950598,1954006,"+","-","HCBG_02801","EEH09264.1",964,"conserved hypothetical protein","supercont2.3","unplaced-scaffold","na","na","<>","na","Primary Assembly",2818386,"na","supercont2.3","Supercontig_2.3"
"GG663365.1","Un",1954485,1957314,"-","-","HCBG_02802","EEH09265.1",385,"hypothetical protein HCBG_02802","supercont2.3","unplaced-scaffold","na","na","<>","na","Primary Assembly",2818386,"na","supercont2.3","Supercontig_2.3"
"GG663365.1","Un",1957923,1958346,"+","-","HCBG_02803","EEH09266.1",117,"conserved hypothetical protein","supercont2.3","unplaced-scaffold","na","na","<>","na","Primary Assembly",2818386,"na","supercont2.3","Supercontig_2.3"
"GG663365.1","Un",1959231,1959654,"-","-","HCBG_02804","EEH09267.1",101,"mitochondrial cytochrome c oxidase assembly factor","supercont2.3","unplaced-scaffold","na","na","<>","na","Primary Assembly",2818386,"na","supercont2.3","Supercontig_2.3"
"GG663365.1","Un",1961230,1962148,"+","-","HCBG_02805","EEH09268.1",297,"peroxisomal D3,D2-enoyl-CoA isomerase","supercont2.3","unplaced-scaffold","na","na","<>","na","Primary Assembly",2818386,"na","supercont2.3","Supercontig_2.3"
"GG663365.1","Un",1962778,1964180,"-","-","HCBG_02806","EEH09269.1",434,"cell cycle control protein","supercont2.3","unplaced-scaffold","na","na","<>","na","Primary Assembly",2818386,"na","supercont2.3","Supercontig_2.3"
"GG663365.1","Un",1964727,1967239,"+","-","HCBG_02807","EEH09270.1",792,"conserved hypothetical protein","supercont2.3","unplaced-scaffold","na","na","<>","na","Primary Assembly",2818386,"na","supercont2.3","Supercontig_2.3"
"GG663365.1","Un",1967537,1968966,"+","-","HCBG_02808","EEH09271.1",432,"conserved hypothetical protein","supercont2.3","unplaced-scaffold","na","na","<>","na","Primary Assembly",2818386,"na","supercont2.3","Supercontig_2.3"
"GG663365.1","Un",1969378,1975898,"-","-","HCBG_02809","EEH09272.1",2079,"HEAT repeat protein","supercont2.3","unplaced-scaffold","na","na","<>","na","Primary Assembly",2818386,"na","supercont2.3","Supercontig_2.3"
"GG663365.1","Un",1976133,1977039,"+","-","HCBG_02810","EEH09273.1",277,"DUF28 domain-containing protein","supercont2.3","unplaced-scaffold","na","na","<>","na","Primary Assembly",2818386,"na","supercont2.3","Supercontig_2.3"
"GG663365.1","Un",1977107,1979856,"-","-","HCBG_02811","EEH09274.1",751,"Mis6 domain-containing protein","supercont2.3","unplaced-scaffold","na","na","<>","na","Primary Assembly",2818386,"na","supercont2.3","Supercontig_2.3"
"GG663365.1","Un",1980174,1982324,"-","-","HCBG_02812","EEH09275.1",648,"CLPTM1 domain-containing protein","supercont2.3","unplaced-scaffold","na","na","<>","na","Primary Assembly",2818386,"na","supercont2.3","Supercontig_2.3"
"GG663365.1","Un",1982698,1984336,"+","-","HCBG_02813","EEH09276.1",411,"short-chain dehydrogenase/reductase","supercont2.3","unplaced-scaffold","na","na","<>","na","Primary Assembly",2818386,"na","supercont2.3","Supercontig_2.3"
"GG663365.1","Un",1985141,1987004,"-","-","HCBG_02814","EEH09277.1",514,"conserved hypothetical protein","supercont2.3","unplaced-scaffold","na","na","<>","na","Primary Assembly",2818386,"na","supercont2.3","Supercontig_2.3"
"GG663365.1","Un",1987495,1988481,"+","-","HCBG_02815","EEH09278.1",215,"protein transporter sec22","supercont2.3","unplaced-scaffold","na","na","<>","na","Primary Assembly",2818386,"na","supercont2.3","Supercontig_2.3"
"GG663365.1","Un",1988821,1990279,"-","-","HCBG_02816","EEH09279.1",360,"conserved hypothetical protein","supercont2.3","unplaced-scaffold","na","na","<>","na","Primary Assembly",2818386,"na","supercont2.3","Supercontig_2.3"
"GG663365.1","Un",1990659,1991579,"+","-","HCBG_02817","EEH09280.1",283,"conserved hypothetical protein","supercont2.3","unplaced-scaffold","na","na","<>","na","Primary Assembly",2818386,"na","supercont2.3","Supercontig_2.3"
"GG663365.1","Un",1993741,1994380,"+","-","HCBG_02818","EEH09281.1",192,"conserved hypothetical protein","supercont2.3","unplaced-scaffold","na","na","<>","na","Primary Assembly",2818386,"na","supercont2.3","Supercontig_2.3"
"GG663365.1","Un",1994947,1997999,"+","-","HCBG_02819","EEH09282.1",896,"glucosidase I","supercont2.3","unplaced-scaffold","na","na","<>","na","Primary Assembly",2818386,"na","supercont2.3","Supercontig_2.3"
"GG663365.1","Un",1998198,1999293,"-","-","HCBG_02820","EEH09283.1",286,"conserved hypothetical protein","supercont2.3","unplaced-scaffold","na","na","<>","na","Primary Assembly",2818386,"na","supercont2.3","Supercontig_2.3"
"GG663365.1","Un",1999967,2002878,"+","-","HCBG_02821","EEH09284.1",863,"conserved hypothetical protein","supercont2.3","unplaced-scaffold","na","na","<>","na","Primary Assembly",2818386,"na","supercont2.3","Supercontig_2.3"
"GG663365.1","Un",2003853,2005751,"-","-","HCBG_02822","EEH09285.1",632,"RING finger domain-containing protein","supercont2.3","unplaced-scaffold","na","na","<>","na","Primary Assembly",2818386,"na","supercont2.3","Supercontig_2.3"
"GG663365.1","Un",2006740,2007618,"+","-","HCBG_02823","EEH09286.1",234,"PAP2 domain-containing protein","supercont2.3","unplaced-scaffold","na","na","<>","na","Primary Assembly",2818386,"na","supercont2.3","Supercontig_2.3"
"GG663365.1","Un",2008263,2011943,"+","-","HCBG_02824","EEH09287.1",1082,"conserved hypothetical protein","supercont2.3","unplaced-scaffold","na","na","<>","na","Primary Assembly",2818386,"na","supercont2.3","Supercontig_2.3"
"GG663365.1","Un",2012463,2013539,"-","-","HCBG_02825","EEH09288.1",358,"malate dehydrogenase","supercont2.3","unplaced-scaffold","na","na","<>","na","Primary Assembly",2818386,"na","supercont2.3","Supercontig_2.3"
"GG663365.1","Un",2014232,2016398,"+","-","HCBG_02826","EEH09289.1",535,"amidase","supercont2.3","unplaced-scaffold","na","na","<>","na","Primary Assembly",2818386,"na","supercont2.3","Supercontig_2.3"
"GG663365.1","Un",2017236,2018139,"-","-","HCBG_02827","EEH09290.1",272,"predicted protein","supercont2.3","unplaced-scaffold","na","na","<>","na","Primary Assembly",2818386,"na","supercont2.3","Supercontig_2.3"
"GG663365.1","Un",2018902,2019971,"+","-","HCBG_02828","EEH09291.1",329,"MAK16 protein","supercont2.3","unplaced-scaffold","na","na","<>","na","Primary Assembly",2818386,"na","supercont2.3","Supercontig_2.3"
"GG663365.1","Un",2020624,2021451,"+","-","HCBG_02829","EEH09292.1",275,"conserved hypothetical protein","supercont2.3","unplaced-scaffold","na","na","<>","na","Primary Assembly",2818386,"na","supercont2.3","Supercontig_2.3"
"GG663365.1","Un",2022077,2026014,"-","-","HCBG_02830","EEH09293.1",1293,"neomycin-resistance protein","supercont2.3","unplaced-scaffold","na","na","<>","na","Primary Assembly",2818386,"na","supercont2.3","Supercontig_2.3"
"GG663365.1","Un",2026853,2032224,"+","-","HCBG_02831","EEH09294.1",1768,"COPII coated assembly protein SEC16","supercont2.3","unplaced-scaffold","na","na","<>","na","Primary Assembly",2818386,"na","supercont2.3","Supercontig_2.3"
"GG663365.1","Un",2033698,2035271,"-","-","HCBG_02832","EEH09295.1",364,"conserved hypothetical protein","supercont2.3","unplaced-scaffold","na","na","<>","na","Primary Assembly",2818386,"na","supercont2.3","Supercontig_2.3"
"GG663365.1","Un",2036374,2038202,"+","-","HCBG_02833","EEH09296.1",483,"predicted protein","supercont2.3","unplaced-scaffold","na","na","<>","na","Primary Assembly",2818386,"na","supercont2.3","Supercontig_2.3"
"GG663365.1","Un",2039980,2043927,"+","-","HCBG_02834","EEH09297.1",1315,"GAS2 domain-containing protein","supercont2.3","unplaced-scaffold","na","na","<>","na","Primary Assembly",2818386,"na","supercont2.3","Supercontig_2.3"
"GG663365.1","Un",2045763,2048597,"-","-","HCBG_02835","EEH09298.1",854,"GTPase activating protein GYP7","supercont2.3","unplaced-scaffold","na","na","<>","na","Primary Assembly",2818386,"na","supercont2.3","Supercontig_2.3"
"GG663365.1","Un",2049591,2050843,"+","-","HCBG_02836","EEH09299.1",322,"conserved hypothetical protein","supercont2.3","unplaced-scaffold","na","na","<>","na","Primary Assembly",2818386,"na","supercont2.3","Supercontig_2.3"
"GG663365.1","Un",2051419,2053330,"+","-","HCBG_02837","EEH09300.1",461,"Rieske domain-containing protein","supercont2.3","unplaced-scaffold","na","na","<>","na","Primary Assembly",2818386,"na","supercont2.3","Supercontig_2.3"
"GG663365.1","Un",2054410,2055536,"+","-","HCBG_02838","EEH09301.1",255,"hypothetical protein HCBG_02838","supercont2.3","unplaced-scaffold","na","na","<>","na","Primary Assembly",2818386,"na","supercont2.3","Supercontig_2.3"
"GG663365.1","Un",2059196,2060046,"-","-","HCBG_02839","EEH09302.1",201,"predicted protein","supercont2.3","unplaced-scaffold","na","na","<>","na","Primary Assembly",2818386,"na","supercont2.3","Supercontig_2.3"
"GG663365.1","Un",2060572,2064830,"+","-","HCBG_02840","EEH09303.1",1396,"F-box domain-containing protein","supercont2.3","unplaced-scaffold","na","na","<>","na","Primary Assembly",2818386,"na","supercont2.3","Supercontig_2.3"
"GG663365.1","Un",2065747,2068155,"-","-","HCBG_02841","EEH09304.1",760,"catalase isozyme A","supercont2.3","unplaced-scaffold","na","na","<>","na","Primary Assembly",2818386,"na","supercont2.3","Supercontig_2.3"
"GG663365.1","Un",2069660,2071056,"-","-","HCBG_02842","EEH09305.1",216,"predicted protein","supercont2.3","unplaced-scaffold","na","na","<>","na","Primary Assembly",2818386,"na","supercont2.3","Supercontig_2.3"
"GG663365.1","Un",2071347,2071667,"-","-","HCBG_02843","EEH09306.1",106,"predicted protein","supercont2.3","unplaced-scaffold","na","na","<>","na","Primary Assembly",2818386,"na","supercont2.3","Supercontig_2.3"
"GG663365.1","Un",2072310,2073543,"+","-","HCBG_02844","EEH09307.1",105,"predicted protein","supercont2.3","unplaced-scaffold","na","na","<>","na","Primary Assembly",2818386,"na","supercont2.3","Supercontig_2.3"
"GG663365.1","Un",2074220,2075311,"-","-","HCBG_02845","EEH09308.1",110,"predicted protein","supercont2.3","unplaced-scaffold","na","na","<>","na","Primary Assembly",2818386,"na","supercont2.3","Supercontig_2.3"
"GG663365.1","Un",2075831,2077267,"+","-","HCBG_02846","EEH09309.1",450,"predicted protein","supercont2.3","unplaced-scaffold","na","na","<>","na","Primary Assembly",2818386,"na","supercont2.3","Supercontig_2.3"
"GG663365.1","Un",2078403,2078964,"-","-","HCBG_02847","EEH09310.1",143,"predicted protein","supercont2.3","unplaced-scaffold","na","na","<>","na","Primary Assembly",2818386,"na","supercont2.3","Supercontig_2.3"
"GG663365.1","Un",2079184,2079978,"+","-","HCBG_02848","EEH09311.1",264,"hypothetical protein HCBG_02848","supercont2.3","unplaced-scaffold","na","na","<>","na","Primary Assembly",2818386,"na","supercont2.3","Supercontig_2.3"
"GG663365.1","Un",2080988,2082217,"-","-","HCBG_02849","EEH09312.1",358,"ER to Golgi transporter Yif1","supercont2.3","unplaced-scaffold","na","na","<>","na","Primary Assembly",2818386,"na","supercont2.3","Supercontig_2.3"
"GG663365.1","Un",2082680,2086199,"+","-","HCBG_02850","EEH09313.1",914,"signal sequence receptor alpha subunit","supercont2.3","unplaced-scaffold","na","na","<>","na","Primary Assembly",2818386,"na","supercont2.3","Supercontig_2.3"
"GG663365.1","Un",2086709,2087271,"-","-","HCBG_02851","EEH09314.1",153,"conserved hypothetical protein","supercont2.3","unplaced-scaffold","na","na","<>","na","Primary Assembly",2818386,"na","supercont2.3","Supercontig_2.3"
"GG663365.1","Un",2089625,2091442,"+","-","HCBG_02852","EEH09315.1",572,"conserved hypothetical protein","supercont2.3","unplaced-scaffold","na","na","<>","na","Primary Assembly",2818386,"na","supercont2.3","Supercontig_2.3"
"GG663365.1","Un",2092105,2092673,"-","-","HCBG_02853","EEH09316.1",94,"hypothetical protein HCBG_02853","supercont2.3","unplaced-scaffold","na","na","<>","na","Primary Assembly",2818386,"na","supercont2.3","Supercontig_2.3"
"GG663365.1","Un",2092947,2094935,"+","-","HCBG_02854","EEH09317.1",516,"allantoate permease","supercont2.3","unplaced-scaffold","na","na","<>","na","Primary Assembly",2818386,"na","supercont2.3","Supercontig_2.3"
"GG663365.1","Un",2096637,2097155,"-","-","HCBG_02855","EEH09318.1",172,"conserved hypothetical protein","supercont2.3","unplaced-scaffold","na","na","<>","na","Primary Assembly",2818386,"na","supercont2.3","Supercontig_2.3"
"GG663365.1","Un",2098248,2100328,"+","-","HCBG_02856","EEH09319.1",217,"ribosomal protein L14","supercont2.3","unplaced-scaffold","na","na","<>","na","Primary Assembly",2818386,"na","supercont2.3","Supercontig_2.3"
"GG663365.1","Un",2101404,2102275,"+","-","HCBG_02857","EEH09320.1",207,"nascent polypeptide-associated complex subunit alpha","supercont2.3","unplaced-scaffold","na","na","<>","na","Primary Assembly",2818386,"na","supercont2.3","Supercontig_2.3"
"GG663365.1","Un",2102520,2103652,"+","-","HCBG_02858","EEH09321.1",301,"ATP synthase subunit D","supercont2.3","unplaced-scaffold","na","na","<>","na","Primary Assembly",2818386,"na","supercont2.3","Supercontig_2.3"
"GG663365.1","Un",2105516,2107472,"-","-","HCBG_02859","EEH09322.1",611,"amidophosphoribosyltransferase","supercont2.3","unplaced-scaffold","na","na","<>","na","Primary Assembly",2818386,"na","supercont2.3","Supercontig_2.3"
"GG663365.1","Un",2109420,2111462,"+","-","HCBG_02860","EEH09323.1",650,"C-5 cytosine methyltransferase DmtA","supercont2.3","unplaced-scaffold","na","na","<>","na","Primary Assembly",2818386,"na","supercont2.3","Supercontig_2.3"
"GG663365.1","Un",2112045,2113478,"-","-","HCBG_02861","EEH09324.1",427,"SET domain-containing protein","supercont2.3","unplaced-scaffold","na","na","<>","na","Primary Assembly",2818386,"na","supercont2.3","Supercontig_2.3"
"GG663365.1","Un",2114491,2116404,"+","-","HCBG_02862","EEH09325.1",557,"2-methylcitrate dehydratase","supercont2.3","unplaced-scaffold","na","na","<>","na","Primary Assembly",2818386,"na","supercont2.3","Supercontig_2.3"
"GG663365.1","Un",2116980,2117909,"-","-","HCBG_02863","EEH09326.1",267,"conserved hypothetical protein","supercont2.3","unplaced-scaffold","na","na","<>","na","Primary Assembly",2818386,"na","supercont2.3","Supercontig_2.3"
"GG663365.1","Un",2118773,2119992,"-","-","HCBG_02864","EEH09327.1",386,"conserved hypothetical protein","supercont2.3","unplaced-scaffold","na","na","<>","na","Primary Assembly",2818386,"na","supercont2.3","Supercontig_2.3"
"GG663365.1","Un",2122382,2124241,"+","-","HCBG_02865","EEH09328.1",595,"AMP dependent ligase","supercont2.3","unplaced-scaffold","na","na","<>","na","Primary Assembly",2818386,"na","supercont2.3","Supercontig_2.3"
"GG663365.1","Un",2125177,2126340,"-","-","HCBG_02866","EEH09329.1",281,"3\'-5\' exonuclease","supercont2.3","unplaced-scaffold","na","na","<>","na","Primary Assembly",2818386,"na","supercont2.3","Supercontig_2.3"
"GG663365.1","Un",2127403,2127741,"+","-","HCBG_02867","EEH09330.1",112,"predicted protein","supercont2.3","unplaced-scaffold","na","na","<>","na","Primary Assembly",2818386,"na","supercont2.3","Supercontig_2.3"
"GG663365.1","Un",2128685,2130248,"-","-","HCBG_02868","EEH09331.1",470,"methylcitrate synthase","supercont2.3","unplaced-scaffold","na","na","<>","na","Primary Assembly",2818386,"na","supercont2.3","Supercontig_2.3"
"GG663365.1","Un",2130838,2133013,"+","-","HCBG_02869","EEH09332.1",600,"isocitrate lyase","supercont2.3","unplaced-scaffold","na","na","<>","na","Primary Assembly",2818386,"na","supercont2.3","Supercontig_2.3"
"GG663365.1","Un",2133872,2137375,"+","-","HCBG_02870","EEH09333.1",1113,"elongation factor 3","supercont2.3","unplaced-scaffold","na","na","<>","na","Primary Assembly",2818386,"na","supercont2.3","Supercontig_2.3"
"GG663365.1","Un",2139095,2139520,"-","-","HCBG_02871","EEH09334.1",141,"predicted protein","supercont2.3","unplaced-scaffold","na","na","<>","na","Primary Assembly",2818386,"na","supercont2.3","Supercontig_2.3"
"GG663365.1","Un",2140114,2141914,"+","-","HCBG_02872","EEH09335.1",527,"choline transporter","supercont2.3","unplaced-scaffold","na","na","<>","na","Primary Assembly",2818386,"na","supercont2.3","Supercontig_2.3"
"GG663365.1","Un",2142649,2146168,"+","-","HCBG_02873","EEH09336.1",1020,"glycosyl hydrolase","supercont2.3","unplaced-scaffold","na","na","<>","na","Primary Assembly",2818386,"na","supercont2.3","Supercontig_2.3"
"GG663365.1","Un",2147214,2149569,"-","-","HCBG_02874","EEH09337.1",539,"malate synthase","supercont2.3","unplaced-scaffold","na","na","<>","na","Primary Assembly",2818386,"na","supercont2.3","Supercontig_2.3"
"GG663365.1","Un",2150166,2151302,"-","-","HCBG_02875","EEH09338.1",114,"predicted protein","supercont2.3","unplaced-scaffold","na","na","<>","na","Primary Assembly",2818386,"na","supercont2.3","Supercontig_2.3"
"GG663365.1","Un",2152562,2153789,"-","-","HCBG_02876","EEH09339.1",346,"alcohol dehydrogenase","supercont2.3","unplaced-scaffold","na","na","<>","na","Primary Assembly",2818386,"na","supercont2.3","Supercontig_2.3"
"GG663365.1","Un",2155301,2155702,"+","-","HCBG_02877","EEH09340.1",133,"conserved hypothetical protein","supercont2.3","unplaced-scaffold","na","na","<>","na","Primary Assembly",2818386,"na","supercont2.3","Supercontig_2.3"
"GG663365.1","Un",2156225,2156527,"+","-","HCBG_02878","EEH09341.1",100,"predicted protein","supercont2.3","unplaced-scaffold","na","na","<>","na","Primary Assembly",2818386,"na","supercont2.3","Supercontig_2.3"
"GG663365.1","Un",2157274,2158023,"-","-","HCBG_02879","EEH09342.1",168,"conserved hypothetical protein","supercont2.3","unplaced-scaffold","na","na","<>","na","Primary Assembly",2818386,"na","supercont2.3","Supercontig_2.3"
"GG663365.1","Un",2158663,2159212,"+","-","HCBG_02880","EEH09343.1",94,"NADH-ubiquinone oxidoreductase","supercont2.3","unplaced-scaffold","na","na","<>","na","Primary Assembly",2818386,"na","supercont2.3","Supercontig_2.3"
"GG663365.1","Un",2159507,2161252,"-","-","HCBG_02881","EEH09344.1",404,"dioxygenase","supercont2.3","unplaced-scaffold","na","na","<>","na","Primary Assembly",2818386,"na","supercont2.3","Supercontig_2.3"
"GG663365.1","Un",2162283,2165156,"-","-","HCBG_02882","EEH09345.1",889,"enzyme activator","supercont2.3","unplaced-scaffold","na","na","<>","na","Primary Assembly",2818386,"na","supercont2.3","Supercontig_2.3"
"GG663365.1","Un",2168010,2168811,"+","-","HCBG_02883","EEH09346.1",116,"predicted protein","supercont2.3","unplaced-scaffold","na","na","<>","na","Primary Assembly",2818386,"na","supercont2.3","Supercontig_2.3"
"GG663365.1","Un",2170389,2171986,"-","-","HCBG_02884","EEH09347.1",471,"glycosyl hydrolase","supercont2.3","unplaced-scaffold","na","na","<>","na","Primary Assembly",2818386,"na","supercont2.3","Supercontig_2.3"
"GG663365.1","Un",2173088,2174133,"+","-","HCBG_02885","EEH09348.1",126,"predicted protein","supercont2.3","unplaced-scaffold","na","na","<>","na","Primary Assembly",2818386,"na","supercont2.3","Supercontig_2.3"
"GG663365.1","Un",2174614,2176165,"+","-","HCBG_02886","EEH09349.1",329,"conserved hypothetical protein","supercont2.3","unplaced-scaffold","na","na","<>","na","Primary Assembly",2818386,"na","supercont2.3","Supercontig_2.3"
"GG663365.1","Un",2178838,2179668,"+","-","HCBG_02887","EEH09350.1",118,"synaptobrevin","supercont2.3","unplaced-scaffold","na","na","<>","na","Primary Assembly",2818386,"na","supercont2.3","Supercontig_2.3"
"GG663365.1","Un",2180036,2180357,"+","-","HCBG_02888","EEH09351.1",61,"predicted protein","supercont2.3","unplaced-scaffold","na","na","<>","na","Primary Assembly",2818386,"na","supercont2.3","Supercontig_2.3"
"GG663365.1","Un",2181165,2184104,"+","-","HCBG_02889","EEH09352.1",903,"conserved hypothetical protein","supercont2.3","unplaced-scaffold","na","na","<>","na","Primary Assembly",2818386,"na","supercont2.3","Supercontig_2.3"
"GG663365.1","Un",2185799,2188556,"+","-","HCBG_02890","EEH09353.1",713,"Rad21/Rec8 N terminal domain-containing protein","supercont2.3","unplaced-scaffold","na","na","<>","na","Primary Assembly",2818386,"na","supercont2.3","Supercontig_2.3"
"GG663365.1","Un",2189880,2190861,"-","-","HCBG_02891","EEH09354.1",241,"short-chain dehydrogenase","supercont2.3","unplaced-scaffold","na","na","<>","na","Primary Assembly",2818386,"na","supercont2.3","Supercontig_2.3"
"GG663365.1","Un",2191663,2193436,"+","-","HCBG_02892","EEH09355.1",484,"glutamine synthetase","supercont2.3","unplaced-scaffold","na","na","<>","na","Primary Assembly",2818386,"na","supercont2.3","Supercontig_2.3"
"GG663365.1","Un",2195246,2196451,"-","-","HCBG_02893","EEH09356.1",167,"conserved hypothetical protein","supercont2.3","unplaced-scaffold","na","na","<>","na","Primary Assembly",2818386,"na","supercont2.3","Supercontig_2.3"
"GG663365.1","Un",2198211,2200144,"+","-","HCBG_02894","EEH09357.1",607,"DUF1613 domain-containing protein","supercont2.3","unplaced-scaffold","na","na","<>","na","Primary Assembly",2818386,"na","supercont2.3","Supercontig_2.3"
"GG663365.1","Un",2200564,2204579,"-","-","HCBG_02895","EEH09358.1",1159,"Smc5-6 complex SMC subunit Smc5","supercont2.3","unplaced-scaffold","na","na","<>","na","Primary Assembly",2818386,"na","supercont2.3","Supercontig_2.3"
"GG663365.1","Un",2205063,2205712,"+","-","HCBG_02896","EEH09359.1",130,"predicted protein","supercont2.3","unplaced-scaffold","na","na","<>","na","Primary Assembly",2818386,"na","supercont2.3","Supercontig_2.3"
"GG663365.1","Un",2207756,2209545,"-","-","HCBG_02897","EEH09360.1",479,"conserved hypothetical protein","supercont2.3","unplaced-scaffold","na","na","<>","na","Primary Assembly",2818386,"na","supercont2.3","Supercontig_2.3"
"GG663365.1","Un",2211377,2211994,"-","-","HCBG_02898","EEH09361.1",205,"predicted protein","supercont2.3","unplaced-scaffold","na","na","<>","na","Primary Assembly",2818386,"na","supercont2.3","Supercontig_2.3"
"GG663365.1","Un",2212074,2215682,"+","-","HCBG_02899","EEH09362.1",1167,"conserved hypothetical protein","supercont2.3","unplaced-scaffold","na","na","<>","na","Primary Assembly",2818386,"na","supercont2.3","Supercontig_2.3"
"GG663365.1","Un",2217487,2217863,"-","-","HCBG_02900","EEH09363.1",99,"predicted protein","supercont2.3","unplaced-scaffold","na","na","<>","na","Primary Assembly",2818386,"na","supercont2.3","Supercontig_2.3"
"GG663365.1","Un",2218397,2219478,"+","-","HCBG_02901","EEH09364.1",241,"phosphoglycerate mutase","supercont2.3","unplaced-scaffold","na","na","<>","na","Primary Assembly",2818386,"na","supercont2.3","Supercontig_2.3"
"GG663365.1","Un",2219752,2220219,"-","-","HCBG_02902","EEH09365.1",155,"conserved hypothetical protein","supercont2.3","unplaced-scaffold","na","na","<>","na","Primary Assembly",2818386,"na","supercont2.3","Supercontig_2.3"
"GG663365.1","Un",2221991,2224722,"-","-","HCBG_02903","EEH09366.1",740,"meiotically up-regulated gene 72 protein","supercont2.3","unplaced-scaffold","na","na","<>","na","Primary Assembly",2818386,"na","supercont2.3","Supercontig_2.3"
"GG663365.1","Un",2228429,2229129,"-","-","HCBG_02904","EEH09367.1",124,"predicted protein","supercont2.3","unplaced-scaffold","na","na","<>","na","Primary Assembly",2818386,"na","supercont2.3","Supercontig_2.3"
