"RefSeq.Accn","X.Replicon.Name","Start","Stop","Strand","GeneID","Locus","Locus.tag","Protein.product","Length","Protein.name","X..Sequence.Name","Sequence.Role","Assigned.Molecule","Assigned.Molecule.Location.Type","GenBank.Accn","Relationship","Assembly.Unit","Sequence.Length","UCSC.style.name","SeqName","SeqName2a"
"NC_026747.1","3",245644,249935,"-",23886538,"-","CNAG_02997","XP_012047811.1",1244,"protein STU1","3","assembled-molecule","3","Chromosome","CP003822.1","=","Primary Assembly",1575141,"na","3","Supercontig_3.3"
"NC_026747.1","3",250219,251362,"-",23886537,"-","CNAG_02996","XP_012048266.1",252,"flavoprotein oxygenase, variant 2","3","assembled-molecule","3","Chromosome","CP003822.1","=","Primary Assembly",1575141,"na","3","Supercontig_3.3"
"NC_026747.1","3",250219,251873,"-",23886537,"-","CNAG_02996","XP_012047812.1",349,"flavoprotein oxygenase","3","assembled-molecule","3","Chromosome","CP003822.1","=","Primary Assembly",1575141,"na","3","Supercontig_3.3"
"NC_026747.1","3",250373,251681,"-",23886537,"-","CNAG_02996","XP_012048267.1",254,"flavoprotein oxygenase, variant 1","3","assembled-molecule","3","Chromosome","CP003822.1","=","Primary Assembly",1575141,"na","3","Supercontig_3.3"
"NC_026747.1","3",252426,253680,"+",23886536,"-","CNAG_02995","XP_012047813.1",372,"RNA-binding protein with serine-rich domain 1","3","assembled-molecule","3","Chromosome","CP003822.1","=","Primary Assembly",1575141,"na","3","Supercontig_3.3"
"NC_026747.1","3",254194,256955,"-",23886535,"-","CNAG_02994","XP_012048265.1",716,"hypothetical protein, variant","3","assembled-molecule","3","Chromosome","CP003822.1","=","Primary Assembly",1575141,"na","3","Supercontig_3.3"
"NC_026747.1","3",254194,256955,"-",23886535,"-","CNAG_02994","XP_012047814.1",741,"hypothetical protein CNAG_02994","3","assembled-molecule","3","Chromosome","CP003822.1","=","Primary Assembly",1575141,"na","3","Supercontig_3.3"
"NC_026747.1","3",257239,258809,"+",23886534,"-","CNAG_02993","XP_012047815.1",404,"solute carrier family 39 (zinc transporter), member 7","3","assembled-molecule","3","Chromosome","CP003822.1","=","Primary Assembly",1575141,"na","3","Supercontig_3.3"
"NC_026747.1","3",259219,262340,"+",23886533,"-","CNAG_02992","XP_012048264.1",704,"actin cross-linking protein","3","assembled-molecule","3","Chromosome","CP003822.1","=","Primary Assembly",1575141,"na","3","Supercontig_3.3"
"NC_026747.1","3",262695,263613,"+",23886532,"-","CNAG_02991","XP_012048263.1",138,"cofilin","3","assembled-molecule","3","Chromosome","CP003822.1","=","Primary Assembly",1575141,"na","3","Supercontig_3.3"
"NC_026747.1","3",265306,265859,"+",23886531,"-","CNAG_02990","XP_012047816.1",101,"nuclear protein","3","assembled-molecule","3","Chromosome","CP003822.1","=","Primary Assembly",1575141,"na","3","Supercontig_3.3"
"NC_026747.1","3",266207,270181,"+",23886530,"-","CNAG_02989","XP_012047817.1",1159,"PX domain-containing protein","3","assembled-molecule","3","Chromosome","CP003822.1","=","Primary Assembly",1575141,"na","3","Supercontig_3.3"
"NC_026747.1","3",270690,271546,"+",23886529,"-","CNAG_02988","XP_012048262.1",170,"acetyltransferase","3","assembled-molecule","3","Chromosome","CP003822.1","=","Primary Assembly",1575141,"na","3","Supercontig_3.3"
"NC_026747.1","3",271663,272151,"-",23886528,"-","CNAG_02987","XP_012048261.1",139,"hypothetical protein CNAG_02987","3","assembled-molecule","3","Chromosome","CP003822.1","=","Primary Assembly",1575141,"na","3","Supercontig_3.3"
"NC_026747.1","3",272800,273842,"-",23886527,"-","CNAG_02986","XP_012048260.1",215,"ADP-ribose pyrophosphatase","3","assembled-molecule","3","Chromosome","CP003822.1","=","Primary Assembly",1575141,"na","3","Supercontig_3.3"
"NC_026747.1","3",274679,275980,"-",23886526,"-","CNAG_02985","XP_012047818.1",321,"nuclear mRNA splicing protein","3","assembled-molecule","3","Chromosome","CP003822.1","=","Primary Assembly",1575141,"na","3","Supercontig_3.3"
"NC_026747.1","3",276701,278307,"+",23886525,"-","CNAG_02984","XP_012048259.1",443,"sarcosine oxidase","3","assembled-molecule","3","Chromosome","CP003822.1","=","Primary Assembly",1575141,"na","3","Supercontig_3.3"
"NC_026747.1","3",279063,280790,"+",23886524,"-","CNAG_02983","XP_012048258.1",575,"hypothetical protein CNAG_02983","3","assembled-molecule","3","Chromosome","CP003822.1","=","Primary Assembly",1575141,"na","3","Supercontig_3.3"
"NC_026747.1","3",281012,284130,"-",23886523,"-","CNAG_02982","XP_012047819.1",949,"U3 small nucleolar RNA-associated protein 13","3","assembled-molecule","3","Chromosome","CP003822.1","=","Primary Assembly",1575141,"na","3","Supercontig_3.3"
"NC_026747.1","3",284939,289349,"+",23886522,"-","CNAG_02981","XP_012047820.1",1332,"paired amphipathic helix protein Sin3a","3","assembled-molecule","3","Chromosome","CP003822.1","=","Primary Assembly",1575141,"na","3","Supercontig_3.3"
"NC_026747.1","3",289651,291374,"-",23886521,"-","CNAG_02980","XP_012048257.1",437,"membrane dipeptidase","3","assembled-molecule","3","Chromosome","CP003822.1","=","Primary Assembly",1575141,"na","3","Supercontig_3.3"
"NC_026747.1","3",291696,292554,"+",23886520,"-","CNAG_02979","XP_012047821.1",220,"hypothetical protein CNAG_02979","3","assembled-molecule","3","Chromosome","CP003822.1","=","Primary Assembly",1575141,"na","3","Supercontig_3.3"
"NC_026747.1","3",292791,293427,"-",23886519,"-","CNAG_02978","XP_012048256.1",112,"hypothetical protein CNAG_02978","3","assembled-molecule","3","Chromosome","CP003822.1","=","Primary Assembly",1575141,"na","3","Supercontig_3.3"
"NC_026747.1","3",293809,299197,"-",23886518,"-","CNAG_02977","XP_012047822.1",1584,"metal resistance protein ycf1","3","assembled-molecule","3","Chromosome","CP003822.1","=","Primary Assembly",1575141,"na","3","Supercontig_3.3"
"NC_026747.1","3",299807,300857,"+",23886517,"-","CNAG_02976","XP_012048255.1",242,"riboflavin kinase","3","assembled-molecule","3","Chromosome","CP003822.1","=","Primary Assembly",1575141,"na","3","Supercontig_3.3"
"NC_026747.1","3",301462,303248,"-",23886516,"-","CNAG_02975","XP_012047823.1",552,"hypothetical protein CNAG_02975","3","assembled-molecule","3","Chromosome","CP003822.1","=","Primary Assembly",1575141,"na","3","Supercontig_3.3"
"NC_026747.1","3",303522,304648,"+",23886515,"-","CNAG_02974","XP_012048254.1",292,"voltage-dependent anion channel protein 2","3","assembled-molecule","3","Chromosome","CP003822.1","=","Primary Assembly",1575141,"na","3","Supercontig_3.3"
"NC_026747.1","3",304991,307000,"+",23886514,"-","CNAG_02973","XP_012047824.1",535,"tRNA-splicing endonuclease subunit Sen2","3","assembled-molecule","3","Chromosome","CP003822.1","=","Primary Assembly",1575141,"na","3","Supercontig_3.3"
"NC_026747.1","3",307114,308017,"-",23886513,"-","CNAG_02972","XP_012047825.1",263,"hypothetical protein CNAG_02972","3","assembled-molecule","3","Chromosome","CP003822.1","=","Primary Assembly",1575141,"na","3","Supercontig_3.3"
"NC_026747.1","3",308419,312400,"-",23890344,"-","CNAG_07506","XP_012047826.1",1226,"transcriptional repressor NF-X1","3","assembled-molecule","3","Chromosome","CP003822.1","=","Primary Assembly",1575141,"na","3","Supercontig_3.3"
"NC_026747.1","3",312960,315658,"-",23890345,"-","CNAG_07507","XP_012047827.1",700,"protein kinase regulator","3","assembled-molecule","3","Chromosome","CP003822.1","=","Primary Assembly",1575141,"na","3","Supercontig_3.3"
"NC_026747.1","3",316023,318004,"-",23886512,"thioesterase family protein","CNAG_02969","XP_012048252.1",494,"thioesterase","3","assembled-molecule","3","Chromosome","CP003822.1","=","Primary Assembly",1575141,"na","3","Supercontig_3.3"
"NC_026747.1","3",316535,318004,"-",23886512,"thioesterase family protein","CNAG_02969","XP_012048253.1",359,"thioesterase, variant","3","assembled-molecule","3","Chromosome","CP003822.1","=","Primary Assembly",1575141,"na","3","Supercontig_3.3"
"NC_026747.1","3",318289,319838,"+",23886511,"-","CNAG_02968","XP_012047828.1",430,"hypothetical protein CNAG_02968","3","assembled-molecule","3","Chromosome","CP003822.1","=","Primary Assembly",1575141,"na","3","Supercontig_3.3"
"NC_026747.1","3",319874,320814,"-",23886510,"-","CNAG_02967","XP_012048251.1",291,"hypothetical protein CNAG_02967","3","assembled-molecule","3","Chromosome","CP003822.1","=","Primary Assembly",1575141,"na","3","Supercontig_3.3"
"NC_026747.1","3",321349,323321,"-",23886509,"-","CNAG_02966","XP_012047829.1",541,"carboxypeptidase","3","assembled-molecule","3","Chromosome","CP003822.1","=","Primary Assembly",1575141,"na","3","Supercontig_3.3"
"NC_026747.1","3",324184,325058,"+",23886508,"-","CNAG_02965","XP_012048250.1",232,"hypothetical protein CNAG_02965","3","assembled-molecule","3","Chromosome","CP003822.1","=","Primary Assembly",1575141,"na","3","Supercontig_3.3"
"NC_026747.1","3",325553,327515,"+",23886507,"-","CNAG_02964","XP_012048249.1",546,"hypothetical protein CNAG_02964","3","assembled-molecule","3","Chromosome","CP003822.1","=","Primary Assembly",1575141,"na","3","Supercontig_3.3"
"NC_026747.1","3",327758,329930,"-",23886506,"-","CNAG_02963","XP_012048248.1",626,"anaphase-promoting complex subunit 8","3","assembled-molecule","3","Chromosome","CP003822.1","=","Primary Assembly",1575141,"na","3","Supercontig_3.3"
"NC_026747.1","3",330245,333182,"+",23886505,"-","CNAG_02962","XP_012047830.1",857,"CMGC/DYRK/PRP4 protein kinase","3","assembled-molecule","3","Chromosome","CP003822.1","=","Primary Assembly",1575141,"na","3","Supercontig_3.3"
"NC_026747.1","3",333480,333904,"+",23886504,"-","CNAG_02961","XP_012048247.1",60,"F-type H -transporting ATPase subunit J","3","assembled-molecule","3","Chromosome","CP003822.1","=","Primary Assembly",1575141,"na","3","Supercontig_3.3"
"NC_026747.1","3",334878,336521,"+",23886503,"-","CNAG_02960","XP_012047831.1",417,"RNA exonuclease 4","3","assembled-molecule","3","Chromosome","CP003822.1","=","Primary Assembly",1575141,"na","3","Supercontig_3.3"
"NC_026747.1","3",336771,338824,"-",23886502,"-","CNAG_02959","XP_012047832.1",437,"high-affinity iron transporter","3","assembled-molecule","3","Chromosome","CP003822.1","=","Primary Assembly",1575141,"na","3","Supercontig_3.3"
"NC_026747.1","3",340928,343460,"+",23886501,"-","CNAG_02958","XP_012048246.1",639,"ferroxidase","3","assembled-molecule","3","Chromosome","CP003822.1","=","Primary Assembly",1575141,"na","3","Supercontig_3.3"
"NC_026747.1","3",343722,346389,"-",23890346,"-","CNAG_07508","XP_012047833.1",814,"hypothetical protein CNAG_07508","3","assembled-molecule","3","Chromosome","CP003822.1","=","Primary Assembly",1575141,"na","3","Supercontig_3.3"
"NC_026747.1","3",346982,349283,"-",23890347,"-","CNAG_07509","XP_012047834.1",532,"xaa-Pro aminopeptidase","3","assembled-molecule","3","Chromosome","CP003822.1","=","Primary Assembly",1575141,"na","3","Supercontig_3.3"
"NC_026747.1","3",349590,351513,"-",23890348,"-","CNAG_07510","XP_012047835.1",509,"farnesyl-diphosphate farnesyltransferase","3","assembled-molecule","3","Chromosome","CP003822.1","=","Primary Assembly",1575141,"na","3","Supercontig_3.3"
"NC_026747.1","3",351779,353473,"+",23886500,"-","CNAG_02956","XP_012048245.1",473,"transcription factor IWS1","3","assembled-molecule","3","Chromosome","CP003822.1","=","Primary Assembly",1575141,"na","3","Supercontig_3.3"
"NC_026747.1","3",353614,354384,"-",23886499,"-","CNAG_02955","XP_012048244.1",191,"hypothetical protein CNAG_02955","3","assembled-molecule","3","Chromosome","CP003822.1","=","Primary Assembly",1575141,"na","3","Supercontig_3.3"
"NC_026747.1","3",354734,359365,"+",23886498,"-","CNAG_02953","XP_012047836.1",1412,"tuberin","3","assembled-molecule","3","Chromosome","CP003822.1","=","Primary Assembly",1575141,"na","3","Supercontig_3.3"
"NC_026747.1","3",354734,359365,"+",23886498,"-","CNAG_02953","XP_012048243.1",1408,"tuberin, variant","3","assembled-molecule","3","Chromosome","CP003822.1","=","Primary Assembly",1575141,"na","3","Supercontig_3.3"
"NC_026747.1","3",359857,360316,"-",23886497,"-","CNAG_02952","XP_012048242.1",109,"hypothetical protein CNAG_02952","3","assembled-molecule","3","Chromosome","CP003822.1","=","Primary Assembly",1575141,"na","3","Supercontig_3.3"
"NC_026747.1","3",360711,362600,"+",23886496,"-","CNAG_02951","XP_012048241.1",569,"hypothetical protein CNAG_02951","3","assembled-molecule","3","Chromosome","CP003822.1","=","Primary Assembly",1575141,"na","3","Supercontig_3.3"
"NC_026747.1","3",362822,365851,"-",23886495,"-","CNAG_02950","XP_012047837.1",242,"Grx4 family monothiol glutaredoxin","3","assembled-molecule","3","Chromosome","CP003822.1","=","Primary Assembly",1575141,"na","3","Supercontig_3.3"
"NC_026747.1","3",366083,368027,"+",23886494,"-","CNAG_02948","XP_012047838.1",439,"peptide chain release factor 1","3","assembled-molecule","3","Chromosome","CP003822.1","=","Primary Assembly",1575141,"na","3","Supercontig_3.3"
"NC_026747.1","3",368592,371948,"+",23886493,"-","CNAG_02947","XP_012047839.1",972,"SCYL protein kinase","3","assembled-molecule","3","Chromosome","CP003822.1","=","Primary Assembly",1575141,"na","3","Supercontig_3.3"
"NC_026747.1","3",372367,374089,"+",23890349,"-","CNAG_07511","XP_012048373.1",479,"nucleolar protein 15","3","assembled-molecule","3","Chromosome","CP003822.1","=","Primary Assembly",1575141,"na","3","Supercontig_3.3"
"NC_026747.1","3",374485,376664,"-",23890350,"-","CNAG_07512","XP_012048374.1",680,"hypothetical protein CNAG_07512","3","assembled-molecule","3","Chromosome","CP003822.1","=","Primary Assembly",1575141,"na","3","Supercontig_3.3"
"NC_026747.1","3",377903,379883,"-",23886492,"-","CNAG_02944","XP_012048240.1",551,"acid phosphatase","3","assembled-molecule","3","Chromosome","CP003822.1","=","Primary Assembly",1575141,"na","3","Supercontig_3.3"
"NC_026747.1","3",380853,383101,"-",23886491,"-","CNAG_02943","XP_012048239.1",548,"cytoplasmic protein, variant","3","assembled-molecule","3","Chromosome","CP003822.1","=","Primary Assembly",1575141,"na","3","Supercontig_3.3"
"NC_026747.1","3",380997,383101,"-",23886491,"-","CNAG_02943","XP_012047840.1",629,"cytoplasmic protein","3","assembled-molecule","3","Chromosome","CP003822.1","=","Primary Assembly",1575141,"na","3","Supercontig_3.3"
"NC_026747.1","3",383950,385426,"-",23886490,"-","CNAG_02942","XP_012048238.1",378,"hypothetical protein CNAG_02942","3","assembled-molecule","3","Chromosome","CP003822.1","=","Primary Assembly",1575141,"na","3","Supercontig_3.3"
"NC_026747.1","3",386384,387775,"-",23886489,"-","CNAG_02941","XP_012047841.1",239,"hypothetical protein CNAG_02941","3","assembled-molecule","3","Chromosome","CP003822.1","=","Primary Assembly",1575141,"na","3","Supercontig_3.3"
"NC_026747.1","3",386384,387775,"-",23886489,"-","CNAG_02941","XP_012048237.1",234,"hypothetical protein, variant","3","assembled-molecule","3","Chromosome","CP003822.1","=","Primary Assembly",1575141,"na","3","Supercontig_3.3"
"NC_026747.1","3",388243,393150,"+",23886488,"-","CNAG_02940","XP_012047842.1",1424,"calcium/proton exchanger","3","assembled-molecule","3","Chromosome","CP003822.1","=","Primary Assembly",1575141,"na","3","Supercontig_3.3"
"NC_026747.1","3",393680,395891,"+",23886487,"-","CNAG_02939","XP_012048236.1",634,"peroxin-3","3","assembled-molecule","3","Chromosome","CP003822.1","=","Primary Assembly",1575141,"na","3","Supercontig_3.3"
"NC_026747.1","3",396133,396883,"-",23886486,"-","CNAG_02938","XP_012048235.1",118,"cytochrome c oxidase subunit 6a","3","assembled-molecule","3","Chromosome","CP003822.1","=","Primary Assembly",1575141,"na","3","Supercontig_3.3"
"NC_026747.1","3",397227,399630,"+",23886485,"-","CNAG_02937","XP_012048234.1",716,"translocation protein SEC63","3","assembled-molecule","3","Chromosome","CP003822.1","=","Primary Assembly",1575141,"na","3","Supercontig_3.3"
"NC_026747.1","3",400276,407421,"+",23886484,"-","CNAG_02936","XP_012048233.1",2274,"CCR4-NOT transcription complex subunit 1","3","assembled-molecule","3","Chromosome","CP003822.1","=","Primary Assembly",1575141,"na","3","Supercontig_3.3"
"NC_026747.1","3",408450,409860,"-",23886483,"-","CNAG_02935","XP_012048232.1",271,"malonic semialdehyde reductase","3","assembled-molecule","3","Chromosome","CP003822.1","=","Primary Assembly",1575141,"na","3","Supercontig_3.3"
"NC_026747.1","3",410545,412622,"-",23886482,"-","CNAG_02934","XP_012048231.1",675,"hypothetical protein, variant","3","assembled-molecule","3","Chromosome","CP003822.1","=","Primary Assembly",1575141,"na","3","Supercontig_3.3"
"NC_026747.1","3",410545,412622,"-",23886482,"-","CNAG_02934","XP_012048230.1",675,"hypothetical protein CNAG_02934","3","assembled-molecule","3","Chromosome","CP003822.1","=","Primary Assembly",1575141,"na","3","Supercontig_3.3"
"NC_026747.1","3",414223,415275,"-",23886481,"-","CNAG_02933","XP_012048229.1",350,"quinone oxidoreductase","3","assembled-molecule","3","Chromosome","CP003822.1","=","Primary Assembly",1575141,"na","3","Supercontig_3.3"
"NC_026747.1","3",415891,417400,"-",23886480,"-","CNAG_02932","XP_012047843.1",364,"hypothetical protein CNAG_02932","3","assembled-molecule","3","Chromosome","CP003822.1","=","Primary Assembly",1575141,"na","3","Supercontig_3.3"
"NC_026747.1","3",417601,418550,"+",23886479,"-","CNAG_02931","XP_012048228.1",297,"hypothetical protein CNAG_02931","3","assembled-molecule","3","Chromosome","CP003822.1","=","Primary Assembly",1575141,"na","3","Supercontig_3.3"
"NC_026747.1","3",418733,424166,"-",23886478,"-","CNAG_02930","XP_012047844.1",1721,"hypothetical protein CNAG_02930","3","assembled-molecule","3","Chromosome","CP003822.1","=","Primary Assembly",1575141,"na","3","Supercontig_3.3"
"NC_026747.1","3",425297,429093,"-",23886477,"-","CNAG_02929","XP_012048227.1",1068,"transcription initiation factor TFIID subunit 1","3","assembled-molecule","3","Chromosome","CP003822.1","=","Primary Assembly",1575141,"na","3","Supercontig_3.3"
"NC_026747.1","3",429945,431085,"-",23886476,"-","CNAG_02928","XP_012048226.1",304,"large subunit ribosomal protein L5e","3","assembled-molecule","3","Chromosome","CP003822.1","=","Primary Assembly",1575141,"na","3","Supercontig_3.3"
"NC_026747.1","3",431411,432766,"+",23886475,"-","CNAG_02927","XP_012048225.1",388,"protein disulfide-isomerase","3","assembled-molecule","3","Chromosome","CP003822.1","=","Primary Assembly",1575141,"na","3","Supercontig_3.3"
"NC_026747.1","3",433091,433965,"+",23886474,"-","CNAG_02926","XP_012047845.1",271,"hypothetical protein CNAG_02926","3","assembled-molecule","3","Chromosome","CP003822.1","=","Primary Assembly",1575141,"na","3","Supercontig_3.3"
"NC_026747.1","3",435329,436956,"-",23886473,"-","CNAG_02925","XP_012048224.1",354,"d-arabinitol 2-dehydrogenase","3","assembled-molecule","3","Chromosome","CP003822.1","=","Primary Assembly",1575141,"na","3","Supercontig_3.3"
"NC_026747.1","3",438282,439488,"-",23886472,"-","CNAG_02924","XP_012048223.1",190,"histone H1/5","3","assembled-molecule","3","Chromosome","CP003822.1","=","Primary Assembly",1575141,"na","3","Supercontig_3.3"
"NC_026747.1","3",441724,442327,"-",23886471,"-","CNAG_02923","XP_012048222.1",149,"large subunit ribosomal protein L14","3","assembled-molecule","3","Chromosome","CP003822.1","=","Primary Assembly",1575141,"na","3","Supercontig_3.3"
"NC_026747.1","3",442606,445294,"+",23886470,"-","CNAG_02922","XP_012048221.1",714,"hypothetical protein CNAG_02922","3","assembled-molecule","3","Chromosome","CP003822.1","=","Primary Assembly",1575141,"na","3","Supercontig_3.3"
"NC_026747.1","3",445972,446727,"+",23886469,"-","CNAG_02921","XP_012048220.1",198,"hypothetical protein CNAG_02921","3","assembled-molecule","3","Chromosome","CP003822.1","=","Primary Assembly",1575141,"na","3","Supercontig_3.3"
"NC_026747.1","3",447272,448688,"+",23886468,"-","CNAG_02920","XP_012047846.1",311,"hydrolase","3","assembled-molecule","3","Chromosome","CP003822.1","=","Primary Assembly",1575141,"na","3","Supercontig_3.3"
"NC_026747.1","3",449188,449781,"-",23886467,"-","CNAG_02919","XP_012048219.1",197,"hypothetical protein CNAG_02919","3","assembled-molecule","3","Chromosome","CP003822.1","=","Primary Assembly",1575141,"na","3","Supercontig_3.3"
"NC_026747.1","3",451551,453152,"-",23886466,"-","CNAG_02918","XP_012048218.1",406,"acetyl-CoA C-acetyltransferase","3","assembled-molecule","3","Chromosome","CP003822.1","=","Primary Assembly",1575141,"na","3","Supercontig_3.3"
"NC_026747.1","3",453395,454824,"-",23886465,"-","CNAG_02917","XP_012048217.1",302,"hypothetical protein CNAG_02917","3","assembled-molecule","3","Chromosome","CP003822.1","=","Primary Assembly",1575141,"na","3","Supercontig_3.3"
"NC_026747.1","3",455221,455740,"+",23886464,"-","CNAG_02916","XP_012048216.1",100,"F-type H -transporting ATPase subunit F","3","assembled-molecule","3","Chromosome","CP003822.1","=","Primary Assembly",1575141,"na","3","Supercontig_3.3"
"NC_026747.1","3",456163,460334,"-",23886463,"-","CNAG_02915","XP_012047847.1",1230,"AGC/PDK1 protein kinase","3","assembled-molecule","3","Chromosome","CP003822.1","=","Primary Assembly",1575141,"na","3","Supercontig_3.3"
"NC_026747.1","3",461120,461690,"+",23886462,"-","CNAG_02914","XP_012048215.1",153,"hypothetical protein CNAG_02914","3","assembled-molecule","3","Chromosome","CP003822.1","=","Primary Assembly",1575141,"na","3","Supercontig_3.3"
"NC_026747.1","3",462701,464134,"+",23886461,"-","CNAG_02913","XP_012047848.1",434,"hypothetical protein CNAG_02913","3","assembled-molecule","3","Chromosome","CP003822.1","=","Primary Assembly",1575141,"na","3","Supercontig_3.3"
"NC_026747.1","3",464580,470233,"-",23886460,"-","CNAG_02912","XP_012047849.1",1743,"hypothetical protein CNAG_02912","3","assembled-molecule","3","Chromosome","CP003822.1","=","Primary Assembly",1575141,"na","3","Supercontig_3.3"
"NC_026747.1","3",471083,473731,"+",23886459,"-","CNAG_02911","XP_012047850.1",850,"hypothetical protein CNAG_02911","3","assembled-molecule","3","Chromosome","CP003822.1","=","Primary Assembly",1575141,"na","3","Supercontig_3.3"
"NC_026747.1","3",473936,475222,"-",23886458,"-","CNAG_02910","XP_012048214.1",428,"hypothetical protein CNAG_02910","3","assembled-molecule","3","Chromosome","CP003822.1","=","Primary Assembly",1575141,"na","3","Supercontig_3.3"
"NC_026747.1","3",475748,483235,"-",23890351,"-","CNAG_07513","XP_012047851.1",2199,"hypothetical protein CNAG_07513","3","assembled-molecule","3","Chromosome","CP003822.1","=","Primary Assembly",1575141,"na","3","Supercontig_3.3"
"NC_026747.1","3",483782,485157,"-",23886457,"-","CNAG_02907","XP_012048213.1",390,"tRNA (guanine-N(1)-)-methyltransferase","3","assembled-molecule","3","Chromosome","CP003822.1","=","Primary Assembly",1575141,"na","3","Supercontig_3.3"
"NC_026747.1","3",485568,486806,"+",23886456,"-","CNAG_02906","XP_012048212.1",220,"ubiquitin-conjugating enzyme (huntingtin interacting protein 2)","3","assembled-molecule","3","Chromosome","CP003822.1","=","Primary Assembly",1575141,"na","3","Supercontig_3.3"
"NC_026747.1","3",487007,487428,"-",23886455,"-","CNAG_02905","XP_012048211.1",121,"hypothetical protein CNAG_02905","3","assembled-molecule","3","Chromosome","CP003822.1","=","Primary Assembly",1575141,"na","3","Supercontig_3.3"
"NC_026747.1","3",487930,488886,"+",23886454,"-","CNAG_02904","XP_012047852.1",229,"hypothetical protein CNAG_02904","3","assembled-molecule","3","Chromosome","CP003822.1","=","Primary Assembly",1575141,"na","3","Supercontig_3.3"
"NC_026747.1","3",489478,491065,"+",23886453,"-","CNAG_02903","XP_012048210.1",353,"alcohol dehydrogenase (NADP)","3","assembled-molecule","3","Chromosome","CP003822.1","=","Primary Assembly",1575141,"na","3","Supercontig_3.3"
"NC_026747.1","3",491291,493345,"-",23886452,"-","CNAG_02902","XP_012047853.1",597,"hypothetical protein CNAG_02902","3","assembled-molecule","3","Chromosome","CP003822.1","=","Primary Assembly",1575141,"na","3","Supercontig_3.3"
"NC_026747.1","3",493763,494570,"+",23886451,"-","CNAG_02901","XP_012047854.1",147,"U6 snRNA-associated Sm-like protein LSm4","3","assembled-molecule","3","Chromosome","CP003822.1","=","Primary Assembly",1575141,"na","3","Supercontig_3.3"
"NC_026747.1","3",496093,497574,"+",23886450,"-","CNAG_02900","XP_012047855.1",384,"hypothetical protein CNAG_02900","3","assembled-molecule","3","Chromosome","CP003822.1","=","Primary Assembly",1575141,"na","3","Supercontig_3.3"
"NC_026747.1","3",500512,501119,"+",23886449,"-","CNAG_02899","XP_012048209.1",148,"hypothetical protein CNAG_02899","3","assembled-molecule","3","Chromosome","CP003822.1","=","Primary Assembly",1575141,"na","3","Supercontig_3.3"
"NC_026747.1","3",501534,502164,"+",23886448,"-","CNAG_02898","XP_012048208.1",123,"RNA-binding protein 8A","3","assembled-molecule","3","Chromosome","CP003822.1","=","Primary Assembly",1575141,"na","3","Supercontig_3.3"
"NC_026747.1","3",502414,506263,"-",23886447,"-","CNAG_02897","XP_012047856.1",1249,"inositol hexaphosphate kinase 1","3","assembled-molecule","3","Chromosome","CP003822.1","=","Primary Assembly",1575141,"na","3","Supercontig_3.3"
"NC_026747.1","3",506887,508781,"-",23886446,"-","CNAG_02896","XP_012047857.1",498,"hydroxymethylglutaryl-CoA synthase","3","assembled-molecule","3","Chromosome","CP003822.1","=","Primary Assembly",1575141,"na","3","Supercontig_3.3"
"NC_026747.1","3",509518,512528,"-",23886445,"-","CNAG_02895","XP_012048207.1",933,"dynamin GTPase","3","assembled-molecule","3","Chromosome","CP003822.1","=","Primary Assembly",1575141,"na","3","Supercontig_3.3"
"NC_026747.1","3",512851,513733,"+",23886444,"-","CNAG_02894","XP_012047858.1",244,"hypothetical protein CNAG_02894","3","assembled-molecule","3","Chromosome","CP003822.1","=","Primary Assembly",1575141,"na","3","Supercontig_3.3"
"NC_026747.1","3",513969,515090,"-",23886443,"-","CNAG_02893","XP_012048205.1",314,"hypothetical protein CNAG_02893","3","assembled-molecule","3","Chromosome","CP003822.1","=","Primary Assembly",1575141,"na","3","Supercontig_3.3"
"NC_026747.1","3",513969,515090,"-",23886443,"-","CNAG_02893","XP_012048206.1",314,"hypothetical protein, variant","3","assembled-molecule","3","Chromosome","CP003822.1","=","Primary Assembly",1575141,"na","3","Supercontig_3.3"
"NC_026747.1","3",515446,517687,"+",23886442,"-","CNAG_02892","XP_012047859.1",658,"phosphatidylinositol glycan, class B","3","assembled-molecule","3","Chromosome","CP003822.1","=","Primary Assembly",1575141,"na","3","Supercontig_3.3"
"NC_026747.1","3",518230,518893,"-",23886441,"-","CNAG_02891","XP_012048204.1",178,"endoplasmic reticulum protein","3","assembled-molecule","3","Chromosome","CP003822.1","=","Primary Assembly",1575141,"na","3","Supercontig_3.3"
"NC_026747.1","3",519206,520522,"+",23886440,"-","CNAG_02890","XP_012047860.1",418,"hypothetical protein CNAG_02890","3","assembled-molecule","3","Chromosome","CP003822.1","=","Primary Assembly",1575141,"na","3","Supercontig_3.3"
"NC_026747.1","3",520595,521112,"-",23886439,"-","CNAG_02889","XP_012047861.1",87,"hypothetical protein CNAG_02889","3","assembled-molecule","3","Chromosome","CP003822.1","=","Primary Assembly",1575141,"na","3","Supercontig_3.3"
"NC_026747.1","3",521642,523604,"+",23886438,"-","CNAG_02888","XP_012048203.1",553,"gamma-glutamyltransferase","3","assembled-molecule","3","Chromosome","CP003822.1","=","Primary Assembly",1575141,"na","3","Supercontig_3.3"
"NC_026747.1","3",523749,528930,"-",23890352,"-","CNAG_07514","XP_012047862.1",1561,"Sec7 domain-containing protein","3","assembled-molecule","3","Chromosome","CP003822.1","=","Primary Assembly",1575141,"na","3","Supercontig_3.3"
